Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HST,AST,HC,AC,B365H,B365D,B365A
26/08/2023,Arsenal,Fulham,2,2,0,1,11,3,8,3,1.2,7.0,13.0
26/08/2023,Man United,Nott'm Forest,3,2,1,2,9,4,11,3,1.3,6.0,8.0
26/08/2023,Brighton,West Ham,1,3,0,1,10,3,17,4,1.53,4.75,5.25
16/09/2023,Wolves,Liverpool,1,3,1,0,2,6,4,4,6.0,5.0,1.45
16/09/2023,West Ham,Man City,1,3,1,0,3,15,4,11,7.0,4.5,1.45
30/09/2023,Everton,Luton,1,2,1,2,5,2,3,6,1.57,3.8,6.5
30/09/2023,Man United,Crystal Palace,0,1,0,1,4,2,10,4,1.55,4.2,5.75
30/09/2023,Wolves,Man City,2,1,1,0,1,8,0,6,8.0,5.75,1.33
07/10/2023,Man United,Brentford,2,1,0,1,8,3,7,5,1.67,4.2,4.75
09/12/2023,Brighton,Burnley,1,1,0,1,11,3,9,1,1.5,4.75,6.0
09/12/2023,Man United,Bournemouth,0,3,0,1,3,4,10,4,1.55,4.33,5.75
09/12/2023,Sheffield United,Brentford,1,0,1,0,4,4,3,4,4.2,3.8,1.75
10/12/2023,Luton,Man City,1,2,1,0,2,6,6,3,17.0,8.0,1.14
23/12/2023,Luton,Newcastle,1,0,1,0,5,2,6,7,4.75,4.2,1.65
27/12/2023,Everton,Man City,1,3,1,0,2,9,8,4,5.75,4.0,1.57
28/12/2023,Arsenal,West Ham,0,2,0,1,8,3,10,3,1.33,5.5,7.5
13/01/2024,Newcastle,Man City,2,3,2,1,5,11,3,13,5.5,4.33,1.55
30/01/2024,Luton,Brighton,4,0,3,0,8,2,7,4,4.2,4.2,1.75
31/01/2024,Tottenham,Brentford,3,2,0,1,5,5,5,3,1.67,4.2,4.75
04/02/2024,Chelsea,Wolves,2,4,1,2,6,7,10,1,1.62,4.0,5.5
10/02/2024,Luton,Sheffield United,1,3,0,2,5,3,13,1,1.75,3.75,4.75
17/02/2024,Tottenham,Wolves,1,2,0,1,4,7,10,4,1.53,4.75,5.25
17/02/2024,Man City,Chelsea,1,1,0,1,5,6,12,1,1.33,5.5,8.0
21/02/2024,Liverpool,Luton,4,1,0,1,13,3,13,4,1.2,7.0,13.0
03/03/2024,Man City,Man United,3,1,0,1,8,1,15,2,1.25,5.75,11.0
09/03/2024,Bournemouth,Sheffield United,2,2,0,1,12,9,10,3,1.33,5.25,8.0
10/03/2024,West Ham,Burnley,2,2,0,2,4,4,4,4,1.67,4.0,4.75
13/03/2024,Bournemouth,Luton,4,3,0,3,10,4,11,3,1.5,4.75,5.75
30/03/2024,Tottenham,Luton,2,1,0,1,4,3,3,6,1.2,8.0,11.0
14/04/2024,Liverpool,Crystal Palace,0,1,0,1,6,5,11,1,1.22,7.0,12.0
24/04/2024,Everton,Liverpool,2,0,1,0,6,7,4,13,7.0,5.0,1.4
27/04/2024,West Ham,Liverpool,2,2,1,0,8,8,5,8,5.5,5.0,1.5
26/08/2023,Arsenal,Fulham,2,2,0,1,11,3,8,3,1.2,7.0,13.0
26/08/2023,Man United,Nott'm Forest,3,2,1,2,9,4,11,3,1.3,6.0,8.0
26/08/2023,Brighton,West Ham,1,3,0,1,10,3,17,4,1.53,4.75,5.25
16/09/2023,Wolves,Liverpool,1,3,1,0,2,6,4,4,6.0,5.0,1.45
16/09/2023,West Ham,Man City,1,3,1,0,3,15,4,11,7.0,4.5,1.45
30/09/2023,Everton,Luton,1,2,1,2,5,2,3,6,1.57,3.8,6.5
30/09/2023,Man United,Crystal Palace,0,1,0,1,4,2,10,4,1.55,4.2,5.75
30/09/2023,Wolves,Man City,2,1,1,0,1,8,0,6,8.0,5.75,1.33
07/10/2023,Man United,Brentford,2,1,0,1,8,3,7,5,1.67,4.2,4.75
09/12/2023,Brighton,Burnley,1,1,0,1,11,3,9,1,1.5,4.75,6.0
09/12/2023,Man United,Bournemouth,0,3,0,1,3,4,10,4,1.55,4.33,5.75
09/12/2023,Sheffield United,Brentford,1,0,1,0,4,4,3,4,4.2,3.8,1.75
10/12/2023,Luton,Man City,1,2,1,0,2,6,6,3,17.0,8.0,1.14
23/12/2023,Luton,Newcastle,1,0,1,0,5,2,6,7,4.75,4.2,1.65
27/12/2023,Everton,Man City,1,3,1,0,2,9,8,4,5.75,4.0,1.57
28/12/2023,Arsenal,West Ham,0,2,0,1,8,3,10,3,1.33,5.5,7.5
13/01/2024,Newcastle,Man City,2,3,2,1,5,11,3,13,5.5,4.33,1.55
30/01/2024,Luton,Brighton,4,0,3,0,8,2,7,4,4.2,4.2,1.75
31/01/2024,Tottenham,Brentford,3,2,0,1,5,5,5,3,1.67,4.2,4.75
04/02/2024,Chelsea,Wolves,2,4,1,2,6,7,10,1,1.62,4.0,5.5
10/02/2024,Luton,Sheffield United,1,3,0,2,5,3,13,1,1.75,3.75,4.75
17/02/2024,Tottenham,Wolves,1,2,0,1,4,7,10,4,1.53,4.75,5.25
17/02/2024,Man City,Chelsea,1,1,0,1,5,6,12,1,1.33,5.5,8.0
21/02/2024,Liverpool,Luton,4,1,0,1,13,3,13,4,1.2,7.0,13.0
03/03/2024,Man City,Man United,3,1,0,1,8,1,15,2,1.25,5.75,11.0
09/03/2024,Bournemouth,Sheffield United,2,2,0,1,12,9,10,3,1.33,5.25,8.0
10/03/2024,West Ham,Burnley,2,2,0,2,4,4,4,4,1.67,4.0,4.75
13/03/2024,Bournemouth,Luton,4,3,0,3,10,4,11,3,1.5,4.75,5.75
30/03/2024,Tottenham,Luton,2,1,0,1,4,3,3,6,1.2,8.0,11.0
14/04/2024,Liverpool,Crystal Palace,0,1,0,1,6,5,11,1,1.22,7.0,12.0
24/04/2024,Everton,Liverpool,2,0,1,0,6,7,4,13,7.0,5.0,1.4
27/04/2024,West Ham,Liverpool,2,2,1,0,8,8,5,8,5.5,5.0,1.5
